,Revenue,Revenue Growth,Gross Profit,SG&A Expense,Operating Expenses,Operating Income,Earnings before Tax,Net Income,Net Income Com,EPS,EPS Diluted,Weighted Average Shs Out,Weighted Average Shs Out (Dil),Gross Margin,EBIT Margin,EBITDA,EBIT,Consolidated Income,Earnings Before Tax Margin,Net Profit Margin,Cash and cash equivalents,Cash and short-term investments,Total current assets,"Property, Plant & Equipment Net",Total assets,Total current liabilities,Total liabilities,Retained earnings (deficit),Total shareholders equity,Other Assets,Other Liabilities,Depreciation & Amortization,Operating Cash Flow,Capital Expenditure,Investing Cash flow,Financing Cash Flow,Net cash flow / Change in cash,Free Cash Flow,assetTurnover,currentRatio,quickRatio,cashRatio,operatingCashFlowPerShare,cashPerShare,Operating Cash Flow per Share,Cash per Share,Shareholders Equity per Share,Income Quality,Tangible Asset Value,Net Current Asset Value,Capex per Share,Gross Profit Growth,EBIT Growth,Operating Income Growth,Net Income Growth,EPS Growth,EPS Diluted Growth,Weighted Average Shares Diluted Growth,Operating Cash Flow growth,Asset Growth,SG&A Expenses Growth,Sector,Class,2019 PRICE VAR [%]
MDGL,0.0,0.0,0.0,15293000.0,40682000.0,-40682000.0,-32811000.0,-32811000.0,-32811000.0,-2.22,-2.22,15393309.0,14796712.0,0.0,0.0,-32715000.0,-32811000.0,-32811000.0,0.0,0.0,57379000.0,483718000.0,485201000.0,227000.0,485428000.0,8444000.0,8444000.0,-139272000.0,476984000.0,1483000.0,5957000.0,96000.0,-25507000.0,-22000.0,-380076000.0,314335000.0,-91248000.0,-25529000.0,0.0,13.725087322497926,12.35711234808195,6.795239223117,-1.7238,3.8778,-1.7238,3.8778,32.2358,0.7774,485428000.0,476757000.0,-0.0015,0.0,-0.0532,-0.2689,-0.0532,0.126,0.126,0.2084,-0.1429,1.23495,0.8115089999999999,Healthcare,0,-18.059179233885022
AZUL,2359112628.866,0.0028,1005817525.7732,95016237.1134,870392783.5052,135424742.268,155181701.0309,108318814.433,108318814.433,0.0155,0.0155,239423984.0206,239423984.0206,0.4264,0.1106,344642525.7732,260905154.6392,108318814.433,0.0658,0.0459,301323711.3402,434680154.6392,907679896.9072,847736855.6701,3039486082.4742,1045565463.9175,2224099484.5361,-215519072.1649,815386597.9381,145206185.567,950149799.4845,83737371.134,114189948.4536,-100896907.2165,14939175.2577,-41557474.2268,104849742.268,13293041.2371,0.7761551015050698,0.2237,0.6792592870133699,0.2881921044056,5.5587,14.6683,5.5587,14.6683,39.6925,1.0542,2777487113.4021,-1316419587.6289,-4.9116,-0.1001,-0.23,-0.4816,-0.3221,-0.1436,-0.1436,0.0917,0.2795,-0.0245,0.0163,Industrials,1,49.07697875966929
TCS,857228000.0,0.0455,497061000.0,411721000.0,457240000.0,39821000.0,6705000.0,19428000.0,19428000.0,0.4,0.4,48328840.0,48061527.0,0.5798,0.037000000000000005,69640000.0,31718000.0,19428000.0,0.0078,0.0227,8399000.0,8399000.0,154194000.0,158389000.0,749369000.0,126537000.0,500662000.0,-595721000.0,248707000.0,22905000.0,75074000.0,37922000.0,62176000.0,-27550000.0,-27550000.0,-37688000.0,-2337000.0,34626000.0,1.1439330957112,1.219,0.26811920624007,0.06637584263891201,1.2937,0.1748,1.2937,0.1748,5.1748,3.2003,317153000.0,-346468000.0,-0.5732,0.0441,-0.2272,-0.0541,0.2993,0.2903,0.2903,0.0027,0.3929,-0.0164,0.0613,Consumer Cyclical,0,-14.747475701051796
ACTG,131506000.0,1.0107,55971000.0,18850000.0,80782000.0,-24811000.0,-4782000.0,-5961000.0,-105029000.0,-2.1,-2.1,49639319.0,49969062.0,0.4256,-0.0364,22363000.0,-4782000.0,-104848000.0,-0.0364,-0.0453,128809000.0,165463000.0,201472000.0,0.0,223949000.0,31035000.0,32709000.0,-422541000.0,189393000.0,3125000.0,22688000.0,27145000.0,20877000.0,-34000.0,-24066000.0,-4606000.0,-7795000.0,20843000.0,0.58721405319961,6.492000000000001,6.3910745932012,4.1504430481713985,0.4178,2.5778,0.4178,2.5778,3.7902,-0.1988,217362000.0,168763000.0,-0.0007,1.1907,-2.6478,0.0902,-5.416384000000001,-5.0,-5.0,-0.0143,0.6101,-0.2747,-0.22913099999999997,Industrials,0,-14.19354297864185
GATX,1360900000.0,-0.0116,803900000.0,191100000.0,513000000.0,290900000.0,245400000.0,211300000.0,211300000.0,5.62,5.52,37600000.0,37600000.0,0.5907,0.3042,752200000.0,414000000.0,211300000.0,0.1803,0.1553,106700000.0,106700000.0,377000000.0,6549500000.0,7616700000.0,543000000.0,5828600000.0,2419200000.0,1788100000.0,52000000.0,365500000.0,338200000.0,508500000.0,-995900000.0,-676100000.0,-21400000.0,-193000000.0,-357533140.0,0.17867317867318,0.69429097605893,0.59852670349908,0.19650092081031,13.5239,2.8378,13.5239,2.8378,47.5559,2.4065,7533800000.0,-5451600000.0,-21.367266,-0.0052,-0.0115,-0.0932,-0.5791,-0.5660000000000001,-0.5671,-0.0279,0.0236,0.0262,0.0617,Industrials,1,19.89107330366339
EPC,2234400000.0,-0.0278,1036800000.0,685500000.0,820300000.0,216500000.0,163800000.0,103300000.0,103300000.0,1.9,1.9,54040386.0,54040386.0,0.464,0.1037,329400000.0,231800000.0,103300000.0,0.0733,0.0462,266400000.0,266400000.0,951200000.0,424100000.0,3953300000.0,717000000.0,2208700000.0,1083100000.0,1744600000.0,128800000.0,285500000.0,97600000.0,264700000.0,-62000000.0,-128500000.0,-375200000.0,-236500000.0,202700000.0,0.56519869476134,1.327,0.68744769874477,0.37154811715481,4.8982,4.9296,4.8982,4.9296,32.2833,2.5624,1403500000.0,-1257500000.0,-1.1473,-0.083,4.492106,3.722499999999971,7.156111,6.346638000000011,6.252855999999998,-0.0517,-0.1559,-0.0562,-0.0322,Consumer Defensive,0,-16.818919749923133
SRG,214754000.0,-0.109,143603000.0,34788000.0,261720000.0,-118117000.0,-73151000.0,-73472000.0,-78375000.0,-2.2,-2.2,36989886.0,35560000.0,0.6687,0.0786,243544000.0,16869000.0,-114878000.0,-0.3406,-0.3421,532857000.0,532857000.0,602776000.0,1754161000.0,2876076000.0,98566000.0,1725618000.0,-344132000.0,780770000.0,32993000.0,0.0,226675000.0,54899000.0,0.0,-119475000.0,180199000.0,115623000.0,54899000.0,0.074669097756805,6.1154556337885,5.7807256051783,5.4060933790557,1.5438,14.9847,1.5438,14.9847,21.9564,-0.7005,2752420000.0,-1122842000.0,0.0,-0.1825,4.492106,-0.031,-0.0591,-0.0046,-0.0046,0.0519,-0.079,0.0361,0.2468,Real Estate,1,22.21761711792876
AMWD,1250274000.0,0.2136,255403000.0,147698000.0,147698000.0,107705000.0,94760000.0,63141000.0,63141000.0,3.8,3.77,17503330.0,17503330.0,0.2043,0.0862,152818000.0,107814000.0,63141000.0,0.0758,0.0505,87910000.0,87910000.0,364367000.0,230291000.0,1645345000.0,170455000.0,1063680000.0,269576000.0,581665000.0,35301000.0,95216000.0,45004000.0,86775000.0,-49866000.0,-44316000.0,-141027000.0,-98568000.0,36909000.0,0.75988561669437,2.138,1.3156844915080002,0.51573729136722,4.9576,5.0225,4.9576,5.0225,33.2317,1.3743,610227000.0,-699313000.0,-2.8489,0.13699999999999998,-0.0054,-0.0049,-0.1132,-0.1324,-0.1313,0.0625,0.1258,1.23495,0.2689,Basic Materials,1,79.29319007505968
CATY,602106000.0,0.1265,602106000.0,187216000.0,264419000.0,337687000.0,337687000.0,271885000.0,271885000.0,3.35,3.33,81075803.0,81131269.0,1.0,0.5608,345001000.0,337687000.0,271885000.0,0.5608,0.4516,600290000.0,600290000.0,696720000.0,103189000.0,16784737000.0,14255562000.0,14662871000.0,1479149000.0,2121866000.0,96430000.0,13926812000.0,7314000.0,336538000.0,-6670000.0,-1134327000.0,863278000.0,65489000.0,329868000.0,0.035872233208063,0.048873555458564005,0.042109178157971,0.042109178157971,4.1481,7.399,4.1481,7.399,26.1535,1.2378,16405354000.0,-13966151000.0,-0.0822,0.1265,0.132,0.132,0.5444,0.5297,0.5346,0.0074,0.3522,0.0732,0.1186,Financial Services,1,16.127366653378886
MSM,3203878000.0,0.1095,1392961000.0,972408000.0,972408000.0,420553000.0,406189000.0,329223000.0,329223000.0,5.84,5.8,56546480.0,56355000.0,0.4348,0.1313,483806000.0,420652000.0,329223000.0,0.1268,0.1028,46217000.0,46217000.0,1147507000.0,311685000.0,2288727000.0,490523000.0,901473000.0,1325822000.0,1387254000.0,58902000.0,121293000.0,63154000.0,339658000.0,-44919000.0,-131919000.0,-177586000.0,30134000.0,294739000.0,1.3998515331885002,2.339,1.1622472340747,0.094219842902372,6.0271,0.8201,6.0271,0.8201,24.6163,1.0317,1491005000.0,246034000.0,-0.7971,0.083,0.1059,0.1096,0.4226,0.4314,0.4321,-0.0046,0.376,0.0904,0.0718,Industrials,1,7.250600762573521
COLB,552326000.0,0.1777,552326000.0,280638000.0,340490000.0,211836000.0,211836000.0,172882000.0,172882000.0,2.36,2.36,73257775.0,72385000.0,1.0,0.3835,244807000.0,211836000.0,172882000.0,0.3835,0.313,277587000.0,277587000.0,339841000.0,168788000.0,13095145000.0,10918253000.0,11061496000.0,426708000.0,2033649000.0,62254000.0,10526253000.0,32971000.0,237201000.0,0.0,-506083000.0,203936000.0,-64946000.0,241903000.0,0.042177921664861,0.032711465621782676,0.027727184986305997,0.025424122338986,3.2769,3.8349,3.2769,3.8349,28.0949,1.372,12283366000.0,-10721655000.0,0.0,0.1777,0.1902,0.1902,0.5323,0.2688,0.2688,0.2088,0.8456,0.0297,0.1698,Financial Services,1,14.801400953829914
GBT,0.0,0.0,0.0,51435000.0,182742000.0,-179996704.444436,-174193000.0,-174193000.0,-174193000.0,-3.41,-3.41,52232448.0,51150728.0,0.0,0.0,-122512180.0,-168192723.08,-174193000.0,0.0,0.0,277752000.0,479929000.0,485780000.0,14981000.0,617643000.0,33773000.0,44844000.0,-472150000.0,572799000.0,5851000.0,27727000.0,4607000.0,-109545969.99999999,-4749000.0,-184157000.0,397906000.0,78374000.0,-140124000.0,0.0,13.725087322497926,12.35711234808195,7.393385346934233,-2.6466,5.4301,-2.6466,5.4301,11.1983,0.7772,617643000.0,440936000.0,-0.0928,0.0,-0.5288,-0.5325,-0.4885,-0.2355,-0.2355,0.2086,-0.4553,0.7315,0.6361,Healthcare,1,93.2652462909652
GEF,3873800000.0,0.0648,788900000.0,397900000.0,419700000.0,369200000.0,282700000.0,209400000.0,209400000.0,3.56,3.55,47949004.0,47949004.0,0.2037,0.0861,460600000.0,333700000.0,229500000.0,0.073,0.0541,94200000.0,94200000.0,976700000.0,1191900000.0,3194800000.0,670200000.0,2040600000.0,1469800000.0,1107800000.0,136300000.0,240300000.0,126900000.0,253000000.0,-136600000.0,-135200000.0,-158300000.0,-48100000.0,116400000.0,1.2125328659071002,1.457,0.82199343479558,0.14055505819157998,5.2764,1.9646,5.2764,1.9646,23.1037,1.2082,2338200000.0,-1063900000.0,-2.8489,0.1038,0.3571,0.3554,0.7656,0.7624,0.7574,0.0,-0.1705,-0.0116,0.046,Consumer Cyclical,1,25.23305363654463
LOMA,711059191.618,-0.40964999999999996,181011604.0318,51301870.0,51301870.0,129709734.0318,81764908.2228,51739567.8249,51739567.8249,0.4005,0.4005,15809721.2202,15809721.2202,0.2546,0.1397,155577541.6976,99307253.13,51739567.8249,0.115,0.0728,21398101.6711,76972395.9682,242110719.496,580316641.8037,871772902.4403,260781236.1538,432695189.8408,144246881.1141,402616754.8541,-43175785.1194,32778446.7108,56270288.5676,110842717.8249,-110812751.7241,-112040008.6472,-63404724.0318,-64602014.8541,29966.1008,0.81564727422426,0.032711465621782676,0.6404000191264001,0.082053839404612,36.054813999999666,81.25222199999806,36.054813999999666,81.25222199999806,195.0318499999994,2.1423,865536511.3793,-190584470.3448,-21.367266,-0.4709,-0.5841,-0.4496,-0.7397,-0.7589,-0.7589,0.0438,-0.5961,-0.37505,-0.22913099999999997,Basic Materials,0,-28.38827731661201
MPAA,427548000.0,0.013,107033000.0,50507000.0,56199000.0,50834000.0,35389000.0,19264000.0,19264000.0,1.02,0.99,19073883.0,18854993.0,0.2503,0.1189,55342000.0,50834000.0,19264000.0,0.0828,0.0451,13049000.0,15877000.0,287555000.0,28322000.0,552427000.0,197268000.0,265547000.0,78510000.0,286880000.0,39786000.0,66927000.0,4508000.0,-13944000.0,-9933000.0,-15278000.0,33142000.0,4020000.0,-23877000.0,0.7739447927056401,1.4580000000000002,0.4007289575602701,0.06614858973579099,-0.7395,0.6921,-0.7395,0.6921,15.2151,-0.7238,546110000.0,22008000.0,-0.5268,-0.0843,-0.2719,-0.2719,-0.5027,-0.5096,-0.5025,0.0049,-1.6464,0.2666,0.1678,Consumer Cyclical,1,34.987751829628884
HCHC,1976700000.0,0.2097,391500000.0,218400000.0,447300000.0,-55800000.0,164400000.0,162000000.0,155600000.0,3.14,2.9,44774936.0,44300000.0,0.1981,0.1215,278800000.0,240100000.0,179900000.0,0.0832,0.08199999999999999,325000000.0,4147000000.0,5529000000.0,376300000.0,6503800000.0,5397000000.0,6281800000.0,-57200000.0,88100000.0,2600000.0,5052100000.0,38700000.0,341400000.0,-33800000.0,-224600000.0,115200000.0,231500000.0,307600000.0,0.30393001014791,1.662,1.0239762831203,0.060218639985177014,7.7065,7.3363,7.7065,7.3363,1.9887,2.1941,6112900000.0,-752800000.0,-0.763,0.2196,4.492106,-3.600739999999999,4.1308,3.7069,3.5,0.0935,4.596855000000002,1.0213,0.1947,Communication Services,0,-18.726591225196433
GGG,1653292000.0,0.1211,882539000.0,382988000.0,446112000.0,436427000.0,410766000.0,341054000.0,341054000.0,2.04,1.97,166437000.0,166437000.0,0.5338,0.2572,472905000.0,425151000.0,341054000.0,0.2485,0.2063,132118000.0,132118000.0,723216000.0,229295000.0,1472741000.0,299803000.0,720868000.0,220734000.0,751873000.0,32508000.0,231818000.0,47754000.0,367985000.0,-53854000.0,-66247000.0,-282711000.0,19214000.0,314131000.0,1.1225952153162,2.412,1.3566441963556,0.4406827149828401,2.211,0.7938,2.211,0.7938,4.5175,1.079,1012585000.0,2348000.0,-0.3236,0.1098,0.1703,0.1523,0.3512,0.36,0.3586,-0.0057,0.0892,0.0591,0.0721,Industrials,1,26.814767293324962
BPFH,386761000.0,0.0011,386761000.0,214387000.0,267355000.0,119406000.0,117921000.0,80384000.0,78702000.0,0.94,0.92,84377380.0,83596685.0,1.0,0.3049,141050000.0,117921000.0,83871000.0,0.3049,0.2078,127259000.0,127259000.0,182383000.0,45412000.0,8494625000.0,7334653000.0,7738145000.0,87821000.0,753954000.0,50023000.0,7053707000.0,23129000.0,93499000.0,-20643000.0,-198405000.0,111624000.0,6718000.0,72856000.0,0.045530085200936,0.032711465621782676,0.027727184986305997,0.017350377720663997,1.1185,1.5223,1.1185,1.5223,9.0189,1.188,8424791000.0,-7555762000.0,-0.2469,0.0011,0.3587,0.3823,1.2043,1.186,1.1905,0.0062,-0.0832,0.022,-0.0687,Financial Services,1,16.633197474827373
TDS,5109000000.0,0.0129,2773000000.0,1694000000.0,2586000000.0,187000000.0,181000000.0,135000000.0,135000000.0,1.2,1.17,112913507.0,112000000.0,0.5428,0.0691,1236000000.0,353000000.0,175000000.0,0.0354,0.0264,921000000.0,938000000.0,2330000000.0,3400000000.0,9783000000.0,879000000.0,4490000000.0,2656000000.0,4560000000.0,250000000.0,493000000.0,883000000.0,1017000000.0,-776000000.0,-680000000.0,-32000000.0,305000000.0,241000000.0,0.52223244403557,2.651,2.1956769055745,1.0477815699659,9.0804,8.2232,9.0804,8.2232,40.7143,7.5333,6826000000.0,-2160000000.0,-6.9286,0.0328,4.492106,2.4385,-0.1176,-0.1367,-0.146,0.0179,0.3106,0.0525,0.003,Communication Services,0,-20.978749336335348
COWN,862800000.0,0.4432,753145000.0,674796000.0,771417000.0,-18272000.0,58538000.0,42819000.0,36027000.0,1.22,1.17,29140689.0,29545000.0,0.8729,0.0678,70974000.0,58538000.0,83217000.0,0.0678,0.0496,473913000.0,1766876000.0,2755829000.0,26443000.0,3346303000.0,1831809000.0,2270093000.0,-34648000.0,794407000.0,-18703000.0,552235000.0,12436000.0,324536000.0,-8586000.0,-17882000.0,-128749000.0,177905000.0,315950000.0,0.25783678286156,1.5044303199733,1.5146404455923,0.25871310818977,10.9845,16.0404,10.9845,16.0404,26.888,9.0081,3260682000.0,485736000.0,-0.2906,0.443,4.4784,0.7947,1.5324,1.5328,1.5109,0.0421,4.596855000000002,0.0152,0.2874,Financial Services,1,12.660947894999227
MTH,3543917000.0,0.0888,653197000.0,380375000.0,380375000.0,272822000.0,283254000.0,227332000.0,227332000.0,5.67,5.58,39966166.0,40107000.0,0.1843,0.0801,311005000.0,284039000.0,227332000.0,0.0799,0.0641,311466000.0,311466000.0,3216000000.0,2797217000.0,3365479000.0,349000000.0,1644724000.0,1218593000.0,1720755000.0,2827249000.0,215454000.0,26966000.0,262200000.0,-33316000.0,-33527000.0,-87953000.0,140720000.0,228884000.0,1.0530200901566,9.214899713467,1.113899713467,0.8924527220630399,6.5375,7.7659,6.5375,7.7659,42.9041,1.1534,3365479000.0,764520400.0000002,-0.8307,0.1098,0.13,0.1233,0.5869,0.5927,0.6364,-0.0355,4.0092,0.0351,0.1003,Consumer Cyclical,1,62.181528968717664
GTLS,1084300000.0,0.2864,295900000.0,181900000.0,226900000.0,69000000.0,101400000.0,88000000.0,88000000.0,2.83,2.73,31204061.0,31050000.0,0.2729,0.1133,173600000.0,122800000.0,90000000.0,0.0935,0.0812,118100000.0,118100000.0,661700000.0,361100000.0,1897700000.0,366600000.0,1008700000.0,453900000.0,884500000.0,115700000.0,229900000.0,50800000.0,119000000.0,-35600000.0,-260600000.0,38200000.0,-12300000.0,83400000.0,0.57137587606049,1.805,0.85351882160393,0.32214948172395,3.8325,3.8035,3.8325,3.8035,28.4863,1.3523,1046600000.0,-347000000.0,-1.1465,0.2776,3.2787,3.722499999999971,2.1429,2.1099,2.0674,0.0274,1.6862,0.1003,0.0055,Industrials,1,2.3351038465338254
SKYW,3221679000.0,0.0317,2286833000.0,1201518000.0,1808933000.0,477900000.0,366314000.0,280372000.0,280372000.0,5.4,5.3,51895343.0,51914000.0,0.7098,0.1511,821312000.0,486723000.0,280372000.0,0.1137,0.087,328384000.0,689329000.0,1020794000.0,5005744000.0,6313212000.0,924826000.0,4348931000.0,1776585000.0,1964281000.0,139581000.0,242638000.0,334589000.0,802534000.0,-1089164000.0,-983404000.0,327462000.0,146592000.0,-286630000.0,0.51030743146278,1.104,0.81477272481526,0.35507652250261,15.4589,6.3255,15.4589,6.3255,37.8372,2.8624,6313212000.0,-3328137000.0,-20.9802,0.0766,0.2381,0.2298,-0.3463,-0.3478,-0.3441,-0.0043,0.1731,0.1532,0.0079,Industrials,1,43.47331205922944
CONN,1516031000.0,-0.0506,795687000.0,450413000.0,680619000.0,115068000.0,31634000.0,6463000.0,6463000.0,0.21,0.2,31370581.0,31192439.0,0.5248,0.0737,142600000.0,111794000.0,6463000.0,0.0209,0.0043,96158000.0,96158000.0,1080017000.0,143152000.0,1900799000.0,164111000.0,1365731000.0,433667000.0,535068000.0,-72020900.00000004,91587000.0,30806000.0,50522000.0,-16918000.0,-16918000.0,-71710000.0,-38106000.0,33604000.0,0.79757565108147,6.581,8.8645916483356,0.58593269189756,1.6197,3.0827,1.6197,3.0827,17.1538,7.8171,1900799000.0,-285714000.0,-0.5424,0.0283,0.7441,0.7952,1.2528,1.253,1.241,0.0325,-0.7538,-0.0208,-0.0227,Consumer Cyclical,0,-36.72114202451128
EZPW,813515000.0,0.0877,482910000.0,388302000.0,414249000.0,68661000.0,57208000.0,39059000.0,39059000.0,0.73,0.69,54464417.0,54456000.0,0.5936,0.1045,110526000.0,85042000.0,38071000.0,0.0703,0.048,285311000.0,517973000.0,749385000.0,73649000.0,1241780000.0,259963000.0,502372000.0,386622000.0,742739000.0,33456000.0,11824000.0,25484000.0,88724000.0,-40474000.0,-134206000.0,167588000.0,121622000.0,48250000.0,0.65512006957754,2.883,2.1115774167862,1.0975061835723,1.6293,5.2393,1.6293,5.2393,13.6393,2.2715,887609000.0,247013000.0,-0.7432,0.1088,0.2,0.281,0.226,0.1774,0.1129,0.0649,0.5301,0.2122,0.085,Financial Services,0,-15.802470981811194
GNL,282207000.0,0.0884,225241000.0,10439000.0,151470000.0,73771000.0,13331000.0,10897000.0,1082000.0,0.01,0.01,72071542.0,69411061.0,0.7981,0.2527,190886000.0,71304000.0,10897000.0,0.0472,0.0386,103693000.0,103693000.0,294769000.0,2745348000.0,3309478000.0,40356000.0,1880732000.0,-615448000.0,1425488000.0,191060000.0,4151000.0,119582000.0,144597000.0,-481102000.0,-457946000.0,312192000.0,-1157000.0,-336505000.0,0.08527236017281299,7.3042174645654,2.5698533055803,2.5694568341758,2.0832,1.4939,2.0832,1.4939,20.5369,9.225167999999993,2611747000.0,-1585963000.0,-6.9312,0.0935,-0.0512,-0.1427,-0.9478,-0.9667,-0.9667,0.0417,0.1042,0.0891,0.2071,Real Estate,1,26.164855122888504
BXC,2862850000.0,0.5769,331854000.0,319314000.0,345140000.0,-13286000.0,-60207000.0,-48053000.0,-48053000.0,-5.21,-5.21,9293794.0,9293794.0,0.1159,-0.0045,12920000.0,-12906000.0,-48053000.0,-0.021,-0.0168,8939000.0,8939000.0,599853000.0,205113000.0,959889000.0,196768000.0,974552000.0,-236222000.0,-14663000.0,40629000.0,38289000.0,25826000.0,41556000.0,-2724000.0,-242733000.0,205420000.0,4243000.0,38832000.0,2.3540755773219577,3.049,1.104717230444,0.04542913481867,4.4714,0.9618,4.4714,0.9618,-1.5521839999999998,-0.8648,876895000.0,-374699000.0,-0.2931,0.4364,-1.4189,-1.443,-1.7628,-1.7486,-1.7651,0.0,4.596855000000002,0.9427,0.6069,Basic Materials,0,-44.1614430078708
NPO,1532000000.0,0.1698,479000000.0,340400000.0,405100000.0,73900000.0,46600000.0,19600000.0,19600000.0,0.94,0.93,20739323.0,20739323.0,0.3127,0.049,148800000.0,75100000.0,19600000.0,0.0304,0.0128,129600000.0,129600000.0,732100000.0,301200000.0,1715800000.0,292000000.0,858100000.0,603300000.0,857700000.0,82800000.0,150400000.0,73700000.0,226400000.0,-35300000.0,-26000000.0,-252400000.0,-59700000.0,191100000.0,0.8928779578039399,2.507,1.4253424657534,0.44383561643836,10.9165,6.249,10.9165,6.249,41.3562,9.225167999999993,1084800000.0,-126000000.0,-1.7021,0.0781,-0.8805,-0.2011,-0.9637,-0.9628,-0.9624,-0.0455,3.8584,-0.0903,0.0451,Industrials,1,10.261649719540847
RCI,11182222222.2222,-0.0093,11182222222.2222,889311.8300000001,8508148148.1481,2674074074.0741,2086666666.6667,1525185185.1852,1525185185.1852,2.963,2.9556,381341203.7037,381341203.7037,1.0,0.2391,4311851851.8519,2674074074.0741,1525185185.1852,0.1866,0.1364,300000000.0,300000000.0,3620740740.7407,8725925925.9259,23642962962.963,5063703703.7037,17584444444.4444,5269645608.6287,6058518518.5185,1267951508.6295,465925925.926,1637777777.7778,3176296296.2963,-2159259259.2593,-2180740740.7407,-691111111.1111,304444444.4444,1017037037.037,0.4729619650354,0.5296,0.38970157987126,0.059245172615565014,11.2451,1.0621,11.2451,1.0621,21.4492,2.0826,15413333333.3333,-13963703703.7037,-7.6445,-0.0093,0.0391,0.0391,0.0523,0.0536,0.0539,0.11012610526315789,0.0268,-0.0129,0.0,Communication Services,1,0.007288930357534707
BSMX,2620378665.674105,0.11345978120978122,1611219232.9304156,854453804.9821514,1235528833.060388,1413000000.0,456789452.3241486,426756934.4619256,1019000000.0,0.62,0.75,665000000.0,135460334.7530783,0.8569468857268561,0.23931331466076292,734512655.660106,593790549.6097388,444634991.4393866,0.1430507689464284,0.14367081294516015,847793338.5221417,1119328119.9080348,3548410589.697526,405737568.8292537,70322000000.0,6200996332.235764,13849319089.212826,4713000000.0,3537134970.2788897,609729837.5219349,4094832401.996737,112111567.94773018,610107890.5520614,-172000000.0,-638720140.3221465,1498669999.9999878,-821100000.0,512458774.951295,0.18003923765604712,1.4604232354117426,0.9876686704947633,0.49267717771251146,4.679085836552738,11.959929179791892,4.679085836552738,11.959929179791892,31.384853289747372,1.2725476304023844,15031343678.022743,-8266415754.207777,-0.9231622436849926,0.12409670437017994,0.2436657265973254,0.1563,0.0887,0.3575709924050635,0.087,0.0,0.3241174520367937,0.0447,0.08974949925484352,Financial Services,1,15.002168419114895
MHLD,2164807000.0,0.0122,284686000.0,719680000.0,719680000.0,-179996704.444436,-226262560.0,-221511580.0,-222508520.0,-6.0356000000000005,-6.034400000000001,82942737.0,83050362.0,0.1315,-0.2425,-122512180.0,-168192723.08,-221183420.0,-0.2514,-0.2516,330989000.0,330989000.0,602339000.0,0.0,5287460000.0,2277786000.0,4732544000.0,-563891000.0,554275000.0,203353000.0,2277786000.0,6179000.0,182289000.0,0.0,32899000.0,-68033000.0,145599000.0,182289000.0,0.40942286088216,0.26444055762921,0.17516395306670998,0.14531171936257,2.1949,3.9854,2.1949,3.9854,6.674,-0.3197,5287460000.0,-4130205000.0,0.0,-0.512,-2.4217,-2.8354,-1.8649,-1.9612,-1.9612,-0.0307,-0.6025,-0.2042,0.0328,Financial Services,0,-56.14035185562152
MLNX,1088743000.0,0.2603,700170000.0,217423000.0,588096000.0,112074000.0,112211000.0,134258000.0,134258000.0,2.54,2.46,53520741.0,52863000.0,0.6431,0.1029,213664000.0,112074000.0,134258000.0,0.1031,0.1233,56766000.0,438490000.0,710438000.0,105334000.0,1587198000.0,212772000.0,285550000.0,319789000.0,1301648000.0,16942000.0,142436000.0,101590000.0,264857000.0,-33099000.0,-225647000.0,-45058000.0,-5848000.0,231758000.0,0.6859528552833399,3.339,2.768761867163,0.2667926230895,5.0103,1.0738,5.0103,1.0738,24.623,1.9727,933954000.0,424888000.0,-0.6261,0.2427,4.492106,3.722499999999971,7.156111,6.346638000000011,6.252855999999998,0.0862,0.6419,0.1321,0.073,Technology,1,27.535920557307854
AERI,24181000.0,0.0,23540000.0,120614000.0,233282000.0,-179996704.444436,-226262560.0,-221511580.0,-222508520.0,-5.58,-5.58,45453615.0,41663958.0,0.9735,-8.863830000000005,-122512180.0,-168192723.08,-221183420.0,-9.085474,-9.178177,202818000.0,202818000.0,220175000.0,60525000.0,285044000.0,50784000.0,57238000.0,-696419000.0,227806000.0,4530000.0,38381000.0,2442000.0,-109545969.99999999,-31313000.0,20789000.0,137036000.0,5249000.0,-183889000.0,0.08483251708508201,4.336,4.0471999054820005,3.9937381852552,-3.6621,4.8679,-3.6621,4.8679,5.4677,0.6559999999999999,285044000.0,162937000.0,-0.7516,0.0,-0.5836,-0.4396,-0.6028,-0.3577,-0.3577,0.1795,-0.6369,-0.018000000000000002,0.8115089999999999,Healthcare,0,-33.4526424025871
BAK,14948419072.1649,0.0047,2981609793.8144,819219329.8969,847304123.7113,2134305670.1031,918608505.1546,728775773.1959,728775773.1959,1.8322,1.97,205478763.9175,205478763.9175,0.1995,0.1133,2464517783.5052,1693750515.4639,739222938.1443,0.0615,0.0488,1429803350.5155,2037435567.0103,5421086340.2062,8185538659.7938,15156580670.1031,5867545876.2887,13699191494.8454,1138310567.0103,1683265463.9175,314761340.2062,601831185.5671,770767268.0412,3119845876.2887,-672988402.0619,-641318814.4330001,-1186443298.9691,456841237.1134,2446857474.2268,0.98626592616969,0.2381,0.51264644705161,0.24367996103677,36.054813999999666,53.9829,36.054813999999666,53.9829,63.5525,4.2809,14450142010.3093,-8278105154.6392,-21.367266,-0.2454,-0.3751,-0.2291,-0.3758,6.346638000000011,6.252855999999998,0.0,0.8658,-0.0483,-0.0627,Basic Materials,0,-44.652205245265854
