,Revenue,Gross Profit,SG&A Expense,Operating Expenses,Operating Income,Earnings before Tax,Net Income,Net Income Com,EPS,EPS Diluted,Weighted Average Shs Out,Weighted Average Shs Out (Dil),Gross Margin,EBITDA Margin,EBIT Margin,Profit Margin,Free Cash Flow margin,EBITDA,EBIT,Consolidated Income,Earnings Before Tax Margin,Net Profit Margin,Cash and cash equivalents,"Property, Plant & Equipment Net",Total assets,Total liabilities,Retained earnings (deficit),Total shareholders equity,Depreciation & Amortization,Operating Cash Flow,Capital Expenditure,Investing Cash flow,Financing Cash Flow,Net cash flow / Change in cash,Free Cash Flow,priceToSalesRatio,returnOnEquity,assetTurnover,operatingCashFlowPerShare,freeCashFlowPerShare,cashPerShare,Revenue per Share,Net Income per Share,Operating Cash Flow per Share,Free Cash Flow per Share,Cash per Share,Book Value per Share,Tangible Book Value per Share,Shareholders Equity per Share,Price to Sales Ratio,Earnings Yield,Income Quality,SG&A to Revenue,Capex to Depreciation,Tangible Asset Value,Invested Capital,ROE,Capex per Share,Gross Profit Growth,EBIT Growth,Operating Income Growth,Sector,Class,2015 PRICE VAR [%]
NLSN,6288000000.0,3668000000.0,1917000000.0,2579000000.0,1089000000.0,620000000.0,384000000.0,384000000.0,1.01,1.0,381074001.0,379333037.0,0.5833,0.237,0.1463,0.061,0.1083,1493000000.0,920000000.0,381000000.0,0.0986,0.0611,273000000.0,533000000.0,15326000000.0,10193000000.0,-128000000.0,5056000000.0,573000000.0,1093000000.0,-412000000.0,-732000000.0,-585000000.0,-291000000.0,681000000.0,2.7108,0.0759,0.4102831789116501,2.8814,1.7953,0.7197,16.5765,1.0123,2.8814,1.7953,0.7197,13.329,7.75,13.3287,2.7108,0.0226,2.8464,0.3049,-0.7190000000000001,2940000000.0,7685000000.0,0.0759,-1.0861,0.1098,-0.193,0.2648,Industrials,1,6.514906632778803
LUV,18605000000.0,10928000000.0,5434000000.0,8703000000.0,2225000000.0,1816000000.0,1136000000.0,1136000000.0,1.65,1.64,678744363.0,678744363.0,0.5874,0.155,0.1046,0.061,0.062,2884000000.0,1946000000.0,1136000000.0,0.0976,0.0611,1282000000.0,14292000000.0,19723000000.0,12948000000.0,7416000000.0,6775000000.0,938000000.0,2902000000.0,-1748000000.0,-1727000000.0,-1248000000.0,-73000000.0,1154000000.0,1.5439,0.1677,0.94331491152462,4.2755,1.7,1.8888,27.4109,1.6737,4.2755,1.7,1.8888,9.982,27.629,9.9817,1.5439,0.039,2.5546,0.2921,-1.8635,18753000000.0,14240000000.0,0.1677,-2.5753,0.1635,0.4522,0.741,Industrials,1,1.5502519242573607
CSX,12669000000.0,3613000000.0,821473.6,3914737.96,3613000000.0,3044000000.0,1927000000.0,1927000000.0,1.93,1.92,995397303.0,1001000000.0,0.2852,0.374,0.2833,0.152,0.0755,4740000000.0,3589000000.0,1927000000.0,0.2403,0.1521,669000000.0,19467000000.0,33053000000.0,21877000000.0,10734000000.0,11176000000.0,1151000000.0,3343000000.0,-2387000000.0,-2183000000.0,-1083000000.0,77000000.0,956000000.0,2.8819,0.1724,0.38329349832088,3.3397,0.955,0.6683,12.6563,1.9251,3.3397,0.955,0.6683,11.165,33.02,11.1648,2.8819,0.0526,1.7348,0.0,-2.0738,33053000000.0,40019000000.0,0.1724,-2.3846,0.0403,0.0301,0.0403,Industrials,0,-25.948236426688773
PAYX,2518900000.0,1786400000.0,803700000.0,803700000.0,982700000.0,988100000.0,627500000.0,627500000.0,1.72,1.71,363739087.0,364500000.0,0.7092,0.434,0.3923,0.249,0.3163,1093100000.0,988100000.0,627500000.0,0.3923,0.2491,152500000.0,342200000.0,6370100000.0,4593100000.0,957500000.0,1777000000.0,105000000.0,880900000.0,-84100000.0,-316100000.0,-519600000.0,45200000.0,796800000.0,5.9032,0.3531,0.39542550352428,2.4167,1.585,0.4184,6.9106,1.7215,2.4167,1.585,0.4184,4.875,15.883,4.8752,5.9032,0.0421,1.4038,0.3191,-0.8009999999999999,5789200000.0,1197800000.0,0.3531,-0.2307,0.0795,0.0842,0.0861,Industrials,1,18.22245081257379
MMM,31821000000.0,15374000000.0,6469000000.0,8239000000.0,4701239999.999997,4176913294.028872,3165898639.999996,3126309534.789122,7.464899999999997,7.316999999999998,640818842.0,649200000.0,0.4831,0.268,0.2239,0.156,0.1656,6975319999.999995,4984315999.999997,3278711732.522755,0.2195,0.1557,1897000000.0,8489000000.0,31209000000.0,18067000000.0,16864965145.436275,13109000000.0,1408000000.0,5775839999.999995,-1358000000.0,-596000000.0,-2759109880.7495604,-522375466.529576,3666010000.0,3.3091,0.3781,1.0196097279631,10.2064,8.115,2.9221,49.0157,7.633999999999999,10.2064,8.115,2.9221,20.193,35.003,20.1925,3.3091,0.0464,1.337,0.2033,-0.9645,22724000000.0,21674000000.0,0.3781,-2.0918,0.0412,0.0724,0.0704,Industrials,0,-5.762398154990269
ARNC,12542000000.0,2193000000.0,770000000.0,1643000000.0,550000000.0,442000000.0,268000000.0,268000000.0,0.64,0.63,392940465.0,392940465.0,0.1749,0.18,0.0705,0.021,0.0363,2256000000.0,884000000.0,177000000.0,0.0352,0.0214,1877000000.0,16426000000.0,37363000000.0,22569000000.0,9379000000.0,12306000000.0,1372000000.0,1674000000.0,-1219000000.0,-3460000000.0,1598762540.0,440000000.0,455000000.0,1.1125,0.0218,0.33567968310896,4.2602,1.158,4.7768,31.9183,0.682,4.2602,1.158,4.7768,31.318,81.732,31.3177,1.1125,0.018000000000000002,6.2463,0.0614,-0.8885,32116000000.0,33633000000.0,0.0218,-3.1023,-0.4146,1.6296,1.3963,Industrials,0,-37.56147625750321
UAL,38901000000.0,15374950000.0,6623941733.656173,10529209026.087639,2373000000.0,1128000000.0,1132000000.0,1132000000.0,3.05,2.93,369070761.0,369070761.0,0.5127,0.091,0.0479,0.029,0.0186,3542000000.0,1863000000.0,1132000000.0,0.029,0.0291,4660000000.0,19467000000.0,36595000000.0,34199000000.0,-1424843000.0,2396000000.0,1679000000.0,2634000000.0,-1911000000.0,-2331000000.0,-1596000000.0,-522375466.529576,723000000.0,0.6346,0.4725,1.0630140729608,7.1368,1.959,12.6263,105.4026,3.0672,7.1368,1.959,12.6263,6.492000000000001,75.292,6.492000000000001,0.6346,0.0456,2.3269,0.265,-1.1382,27788000000.0,22567000000.0,0.4725,-5.1779,0.0685,0.4092,0.8999,Industrials,0,-13.626767560833905
DE,36066900000.0,6783600000.0,3284400000.0,10529209026.087639,2615100000.0,4176913294.028872,3161700000.0,3126309534.789122,7.464899999999997,7.316999999999998,358420496.0,363000000.0,0.3131,0.187,0.1512,0.08800000000000001,0.0543,6758700000.0,2615100000.0,3163300000.0,0.1328,0.0877,3787000000.0,9593300000.0,61336400000.0,52270900000.0,16864965145.436275,9062600000.0,1004200000.0,3525900000.0,-1567800000.0,-2881000000.0,-288300000.0,768053239.9999998,-153800000.0,0.8501,0.3489,0.58801788171461,9.7132,5.3942,10.4325,99.3579,8.7099,9.7132,5.3942,10.4325,24.966,166.602,24.9658,0.8501,0.1018,1.1152,0.0911,-1.2,5614800000.0,85685600000.00005,0.3489,-4.319,-0.222,-0.2442,-0.2442,Industrials,0,-11.13019987502372
AAL,39912360000.0,15374950000.0,6623941733.656173,10529209026.087639,4249000000.0,3212000000.0,2882000000.0,2882000000.0,4.02,3.93,717263563.0,717263563.0,0.481,0.132,0.0961,0.068,-0.0515,5612000000.0,4099000000.0,2882000000.0,0.0753,0.0676,1768000000.0,19467000000.0,43225000000.0,41204000000.0,-1424843000.0,2021000000.0,1513000000.0,3080000000.0,-2815440000.0,-2911000000.0,-315000000.0,-146000000.0,-521140520.0000001,0.9019,0.7597259999999966,0.9866975130133,4.2941,-3.064,2.4649,59.4621,4.018,4.2941,-3.064,2.4649,2.818,51.437,2.8177,0.9019,0.075,1.0687,0.2357,-3.4884,36894000000.0,39442000000.0,0.7600679999999989,-7.3585,0.6546,4.0959,2.0372,Industrials,0,-20.768097565904554
CAT,39912360000.0,13842000000.0,6529000000.0,10528000000.0,3314000000.0,3144000000.0,2452000000.0,2452000000.0,3.97,3.9,605398874.0,617200000.0,0.2508,0.123,0.0657,0.044,0.1012,6791000000.0,3628000000.0,2468000000.0,0.057,0.0444,6376899999.999985,16577000000.0,84681000000.0,67855000000.0,16864965145.436275,16746000000.0,1960250000.0000043,5775839999.999995,-2475000000.0,-3627000000.0,-2759109880.7495604,768053239.9999998,3666010000.0,1.0041,0.1464,0.6516692056069201,13.0541,9.044,11.894,89.4102,3.9728,13.0541,9.044,11.894,27.132,121.372,27.1322,1.0041,0.0434,3.2859,0.1183,-0.7825,74911000000.0,78978000000.0,0.1464,-4.01,-0.0253,-0.349,-0.4112,Industrials,0,-23.26703294269905
DOV,7752728000.0,2974249000.0,1758765000.0,1758765000.0,1215484000.0,1091302000.0,775235000.0,775235000.0,4.65,4.59,165362322.0,166692000.0,0.3836,0.197,0.1577,0.1,0.1063,1530179000.0,1222991000.0,775235000.0,0.1408,0.1,681581000.0,837069000.0,9030291000.0,5329566000.0,7074782000.0,3700725000.0,307188000.0,975924000.0,-151660000.0,-802310000.0,-255489000.0,-122301000.0,824264000.0,1.2357,0.2095,0.8585247142091,5.8547,4.945,4.0889,46.5093,4.6507,5.8547,4.945,4.0889,22.201,25.011,22.201,1.2357,0.0803,1.2589,0.2269,-0.4937,4169214000.0,4479781000.0,0.2095,-0.9098,0.0704,-0.1088,0.0463,Industrials,0,-12.226585885283196
RTN,22826000000.0,5531000000.0,2352000000.0,2352000000.0,3179000000.0,3034000000.0,2244000000.0,2244000000.0,7.19,7.18,308368000.0,308368000.0,0.2423,0.161,0.1423,0.098,0.0794,3686000000.0,3247000000.0,2258000000.0,0.1329,0.0983,3222000000.0,1935000000.0,27716000000.0,17995000000.0,15671000000.0,9525000000.0,439000000.0,2184000000.0,-371000000.0,-1322000000.0,-936000000.0,-74000000.0,1813000000.0,1.4613,0.2356,0.82356761437437,7.0824,5.879,10.4486,74.0219,7.277,7.0824,5.879,10.4486,30.888,47.524,30.8884,1.4613,0.0665,0.9733,0.103,-0.8451,14655000000.0,11006000000.0,0.2356,-1.2031,0.069,0.0773,0.08199999999999999,Industrials,1,17.538277478423506
BAH,5478693000.0,1275465000.0,742527000.0,814854000.0,460611000.0,380787000.0,232188000.0,232188000.0,1.62,1.54,148917443.0,148917443.0,0.2328,0.097,0.0837,0.042,0.0569,531144000.0,458817000.0,232188000.0,0.0695,0.0424,259994000.0,129427000.0,2940818000.0,2769182000.0,42688000.0,171636000.0,72327000.0,332718000.0,-20905000.0,-13556000.0,-409552000.0,-90390000.0,311813000.0,0.598,0.7597259999999966,1.8629826803291,2.2342,2.96,1.7459,36.7901,1.5592,2.2342,2.96,1.7459,1.153,9.711,1.1526,0.598,0.0736,1.433,0.1355,-0.289,1446142000.0,1927963000.0,0.7600679999999989,-0.1404,-0.0582,0.0461,0.0322,Industrials,1,18.37263270350029
UTX,39912360000.0,15374950000.0,6172000000.0,8647000000.0,4701239999.999997,4176913294.028872,3165898639.999996,3126309534.789122,6.92,6.82,911658325.0,898300000.0,0.2936,0.193,0.1614,0.107,0.0989,6975319999.999995,4984315999.999997,3278711732.522755,0.1462,0.1074,5229000000.0,8592000000.0,91206000000.0,58502000000.0,16864965145.436275,24434214427.899364,1820000000.0,5775839999.999995,-1594000000.0,-2080000000.0,-2759109880.7495604,768053239.9999998,3666010000.0,1.8107,0.1993,0.6348266561410401,8.1498,6.375,5.8210000000000015,64.4551,6.9242,8.1498,6.375,5.8210000000000015,34.747,53.69,34.7467,1.8107,0.0602,1.177,0.1066,-0.8758,48230000000.0,39227000000.0,0.1993,-1.7745,0.0539,0.0847,0.1251,Industrials,0,-14.478820433755367
EMR,17733000000.0,7762000000.0,4164000000.0,4375000000.0,3387000000.0,3100000000.0,2147000000.0,2147000000.0,3.05,3.03,697915249.0,697915249.0,0.4377,0.218,0.1859,0.121,0.1715,3865000000.0,3296000000.0,2184000000.0,0.1748,0.1211,3149000000.0,3802000000.0,24177000000.0,14010000000.0,16864965145.436275,10119000000.0,569000000.0,3692000000.0,-651000000.0,-1159000000.0,-2559000000.0,-126000000.0,3041000000.0,2.463,0.2122,0.73346569053232,5.29,4.158,4.512,25.4085,3.0763,5.29,4.158,4.512,14.499,21.931,14.4989,2.463,0.0487,1.7196,0.2348,-1.1441,15306000000.0,9727000000.0,0.2122,-0.9328,-0.2201,-0.0167,-0.0079,Industrials,0,-19.795146131282536
ADP,10226400000.0,4185400000.0,2370300000.0,2370300000.0,1815100000.0,2294100000.0,1515900000.0,1515900000.0,3.17,3.14,482102232.0,478900000.0,0.4093,0.251,0.2249,0.14800000000000002,0.1485,2566800000.0,2300200000.0,1515900000.0,0.2243,0.1482,1584000000.0,667100000.0,32059800000.0,25389600000.0,13632900000.0,6670200000.0,266600000.0,1821400000.0,-303000000.0,110162089.99999987,-2358200000.0,284500000.0,1518400000.0,3.2814,0.2273,0.31897890816537,3.8033,2.801,3.3076,21.3539,3.1654,3.8033,2.801,3.3076,13.928,61.986,13.9282,3.2814,0.0455,1.2015,0.2318,-1.1365,29685300000.0,6118200000.0,0.2273,-0.6327,0.0821,0.0648,0.1171,Industrials,1,4.2006917282823135
AER,3591559000.0,3449987000.0,299892000.0,1752740000.0,1697247000.0,947820000.0,810447000.0,810447000.0,4.61,4.54,113783799.0,175912662.0,0.9606,0.8293299999999999,0.4812,0.226,-0.0649,3010397000.0,1728169000.0,808498000.0,0.2639,0.2257,2207757000.0,19467000000.0,43867380000.0,35924832000.0,2310486000.0,7863777000.0,1282228000.0,2313674000.0,-2546618000.0,-1848790000.0,734057000.0,768053239.9999998,-232944000.0,1.2299,0.1031,0.081873113917448,13.1524,-1.324,12.5503,20.4167,4.6071,13.1524,-1.324,12.5503,44.703,246.393,44.7027,1.2299,0.1188,2.8548,0.0835,-1.9861,43343671000.0,71538306000.0,0.1031,-14.4766,2.2457080000000005,2.1723,2.1599,Industrials,1,12.045688822709373
ETN,22552000000.0,6906000000.0,3810000000.0,4918000000.0,1988000000.0,1751000000.0,1793000000.0,1793000000.0,3.78,3.76,474600000.0,474100000.0,0.3062,0.131,0.0877,0.08,0.0553,2961000000.0,1978000000.0,1803000000.0,0.0776,0.0795,781000000.0,3750000000.0,33529000000.0,17690000000.0,7078000000.0,15786000000.0,983000000.0,1878000000.0,-632000000.0,110162089.99999987,-2130000000.0,-134000000.0,1246000000.0,1.4302,0.1136,0.67261176891646,3.9612,2.628,1.6473,47.56800000000001,3.7819,3.9612,2.628,1.6473,33.297,27.589,33.2968,1.4302,0.0556,1.0474,0.1689,-0.6429,13080000000.0,15978000000.0,0.1136,-1.3331,0.0343,-0.077,-0.0775,Industrials,0,-20.69875641528357
ATI,4223400000.0,378600000.0,272500000.0,272500000.0,106100000.0,-11300000.0,-2600000.0,-2600000.0,-0.03,-0.03,108702948.0,108702948.0,0.0896,0.065,0.0231,-0.001,-0.0402,274200000.0,97400000.0,9600000.0,-0.0027,-0.0006,269500000.0,2961800000.0,6571700000.0,3850300000.0,2398900000.0,2598400000.0,176800000.0,55900000.0,-225700000.0,-316200000.0,-497000000.0,-522375466.529576,-169800000.0,0.8949,-0.001,0.6426647594990601,0.5142,-1.5619999999999998,2.4792,38.8527,-0.0239,0.5142,-1.5619999999999998,2.4792,23.904,53.276,23.9037,0.8949,-0.0009,-6.915212,0.0645,-1.2766,5791300000.0,6140100000.0,-0.001,-2.0763,0.4988,-0.374,2.1842,Industrials,0,-66.37500099951316
HON,39912360000.0,11349000000.0,5518000000.0,5518000000.0,4701239999.999997,4176913294.028872,3165898639.999996,3126309534.789122,5.4,5.33,782810325.0,782810325.0,0.2816,0.173,0.15,0.105,0.0993,6970000000.0,4984315999.999997,3278711732.522755,0.1421,0.1052,6376899999.999985,5383000000.0,45451000000.0,27667000000.0,16864965145.436275,17657000000.0,924000000.0,5080000000.0,-1076000000.0,-1876000000.0,-2328000000.0,537000000.0,3666010000.0,1.8501,0.2401,0.8868011704913,6.4894,5.115,8.8898,51.4888,5.4151,6.4894,5.115,8.8898,22.556,38.905,22.5559,1.8501,0.0567,1.1984,0.1369,-1.1645,30455000000.0,17406000000.0,0.2401,-1.3745,0.0615,0.0605,0.06,Industrials,1,5.579204753207389
BCO,3562300000.0,614100000.0,560600000.0,641600000.0,-27500000.0,-47200000.0,-83900000.0,-83900000.0,-1.71,-1.71,48573324.0,49000000.0,0.1724,0.039,-0.0067,-0.024,0.0015,138100000.0,-23800000.0,-114800000.0,-0.0132,-0.0236,176200000.0,669500000.0,2192000000.0,1718200000.0,592900000.0,434000000.0,161900000.0,141300000.0,-136100000.0,900000.0,3300000.0,-79300000.0,5200000.0,0.3328,-0.1933,1.6251368613138997,2.8837,0.106,3.5959,72.7,-1.7122,2.8837,0.106,3.5959,8.857000000000003,39.52,8.8571,0.3328,-0.0701,-1.6841,0.1574,-0.8406,1936500000.0,1498500000.0,-0.1933,-2.7776,-0.1464,-1.1814,-1.1685,Industrials,1,20.139496888455
UNP,23988000000.0,15374950000.0,5076000000.0,7904000000.0,4701239999.999997,4176913294.028872,3165898639.999996,3126309534.789122,5.77,5.75,889099281.0,897100000.0,0.6944,0.451,0.3712,0.21600000000000005,0.1267,6975319999.999995,4984315999.999997,3278711732.522755,0.3478,0.2159,1586000000.0,19467000000.0,52372000000.0,31183000000.0,16864965145.436275,21189000000.0,1904000000.0,5775839999.999995,-2815440000.0,-4249000000.0,-2759109880.7495604,154000000.0,3039000000.0,4.4155,0.2445,0.45803100893607,8.2321,3.388,1.7679,26.7395,5.7742,8.2321,3.388,1.7679,23.619,58.379,23.6194,4.4155,0.0484,1.4257,0.2116,-2.2826,52372000000.0,58435000000.0,0.2445,-4.8445,0.1195,0.1756,0.1755,Industrials,0,-32.54104569858953
LMT,39912360000.0,4683000000.0,821473.6,3914737.96,4683000000.0,4176913294.028872,3165898639.999996,3126309534.789122,7.464899999999997,7.316999999999998,315925164.0,315925164.0,0.1172,0.16,0.1346,0.09,0.0756,6372000000.0,4984315999.999997,3278711732.522755,0.1261,0.0905,1446000000.0,4751000000.0,37046000000.0,33646000000.0,14956000000.0,3400000000.0,994000000.0,3866000000.0,-845000000.0,-1723000000.0,-2759109880.7495604,-522375466.529576,3021000000.0,1.523,0.7597259999999966,1.0782810559845,12.2371,9.562,4.577,126.4413,11.4394,12.2371,9.562,4.577,10.762,81.855,10.762,1.523,0.0593,1.0697,0.0,-0.8501,25860000000.0,19444000000.0,0.7600679999999989,-2.6747,0.1185,0.1856,0.1185,Industrials,1,15.739845424822645
MTZ,4611803000.0,633840000.0,238305000.0,392757000.0,241083000.0,192352000.0,115923000.0,115923000.0,1.45,1.35,81875111.0,79953000.0,0.1374,0.086,0.0527,0.025,0.05,397573000.0,243121000.0,115549000.0,0.0417,0.0251,24059000.0,623118000.0,3563980000.0,2415905000.0,457788000.0,1143661000.0,154452000.0,323011000.0,-92599000.0,-439262000.0,118675000.0,1132000.0,230412000.0,0.4014,0.1014,1.2940036139372,4.04,2.882,0.3009,57.6814,1.4499,4.04,2.882,0.3009,14.304,27.906,14.3042,0.4014,0.0641,2.7864,0.0517,-0.5995,2231141000.0,2361024000.0,0.1014,-1.1582,-0.0134,-0.1315,-0.1573,Industrials,0,-19.90784078473769
UPS,39912360000.0,15374950000.0,6623941733.656173,10529209026.087639,4701239999.999997,4176913294.028872,3032000000.0,3032000000.0,3.31,3.28,905226316.0,905226316.0,0.9098,0.119,0.0857,0.052000000000000005,0.0593,6913000000.0,4984315999.999997,3032000000.0,0.0796,0.0521,2291000000.0,18281000000.0,35440000000.0,33282000000.0,5726000000.0,2141000000.0,1923000000.0,5726000000.0,-2275000000.0,-2801000000.0,-2759109880.7495604,-522375466.529576,3451000000.0,1.7282,0.7597259999999966,1.6431151241534998,6.3255,3.812,2.5309,64.3287,3.3494,6.3255,3.812,2.5309,2.365,35.802,2.3652,1.7282,0.0298,1.8885,0.5682,-1.183,32409000000.0,32276000000.0,0.7600679999999989,-2.5132,0.0559,-0.2926,-0.2937,Industrials,0,-10.28791781083783
GD,30852000000.0,5873000000.0,1984000000.0,1984000000.0,3889000000.0,3662000000.0,2533000000.0,2533000000.0,7.464899999999997,7.316999999999998,331389741.0,331389741.0,0.1904,0.138,0.1215,0.08199999999999999,0.1072,4244000000.0,3748000000.0,2533000000.0,0.1187,0.0821,4388000000.0,3329000000.0,35337000000.0,23508000000.0,16864965145.436275,11829000000.0,496000000.0,3828000000.0,-521000000.0,-1102000000.0,-2759109880.7495604,-522375466.529576,3307000000.0,1.4782,0.2141,0.8730792087613499,11.5514,9.979,13.2412,93.0988,7.6436,11.5514,9.979,13.2412,35.695,68.48100000000001,35.6951,1.4782,0.0549,1.5113,0.0643,-1.0504,22694000000.0,8448000000.0,0.2141,-1.5722,0.0253,0.0504,0.0542,Industrials,1,2.157564187062996
PWR,7747229000.0,1168794000.0,705477000.0,739734000.0,429060000.0,435721000.0,296714000.0,296714000.0,1.35,1.35,212463762.0,219668000.0,0.1509,0.079,0.0569,0.038,0.01,615849000.0,440486000.0,315082000.0,0.0562,0.0383,190515000.0,1099574000.0,6253583000.0,1728043000.0,1366791000.0,4514473000.0,175363000.0,310824000.0,-233020000.0,-542866000.0,-58347000.0,-298262000.0,77804000.0,0.7786,0.0657,1.2388464341162,1.415,0.354,0.8673,35.2679,1.3507,1.415,0.354,0.8673,20.551,20.091,20.5513,0.7786,0.0476,1.0476,0.0911,-1.3288,4413304000.0,3197843000.0,0.0657,-1.0608,0.1843,-0.2676,-0.0986,Industrials,0,-28.571426638188488
STNG,342807000.0,117283000.0,48129000.0,94724000.0,22559000.0,52091000.0,52091000.0,52091000.0,3.0,3.0,19879150.0,17185106.0,0.3421,0.337,0.2125,0.152,-3.1047,115478000.0,72861000.0,52091000.0,0.152,0.152,116143000.0,2447620000.0,2804643000.0,1641795000.0,-27980000.0,1162848000.0,42617000.0,93916000.0,-1158234000.0,-1158234000.0,1101616000.0,37298000.0,-521140520.0000001,5.0393,0.0448,0.12222839056522,5.465,-22.461712,6.7584,19.9479,3.0312,5.465,-22.6175,6.7584,67.666,163.202,67.666,5.0393,0.0345,1.8029,0.1404,-8.70119,2804643000.0,4069654000.0,0.0448,-31.92555,1.4961,2.6948,1.9566,Industrials,0,-5.583704849502113
RSG,8803300000.0,3160200000.0,918900000.0,1925400000.0,1234800000.0,885000000.0,547600000.0,547600000.0,1.54,1.53,355538929.0,356700000.0,0.359,0.252,0.1401,0.062,0.0799,2218600000.0,1233700000.0,547900000.0,0.1005,0.0622,75200000.0,7165300000.0,20094000000.0,12346200000.0,2795000000.0,7745300000.0,984900000.0,1529800000.0,-826800000.0,-959800000.0,-708100000.0,-138100000.0,703000000.0,1.6256,0.0707,0.43810590225938,4.2888,1.971,0.2108,24.6798,1.5352,4.2888,1.971,0.2108,21.714,25.131,21.7138,1.6256,0.0383,2.7936,0.1044,-0.8395,8964200000.0,14124200000.0,0.0707,-2.3179,-0.006999999999999999,0.0187,0.0183,Industrials,1,12.265047362015133
TOPS,3602000.0,2346000.0,2335000.0,3914737.96,-588000.0,2896000.0,2896000.0,2896000.0,7.464899999999997,7.316999999999998,930472.48,600368.1084259999,0.6513,0.8293299999999999,0.6368889999999999,0.5069699999999994,-7.723315000000004,4223000.0,3346000.0,2896000.0,0.52788,0.4938799999999999,609699.9999999998,73976000.0,75575000.0,33046000.0,-275786000.0,42529000.0,877000.0,-2803000.0,-46025000.0,-44450000.0,37547000.0,-9706000.0,-48828000.0,0.0,0.0681,0.047661263645385,0.0,11.134759999999979,0.042932,0.0,0.0,0.0,11.550999999999998,0.042932,73.34183999999996,398.1226679999993,0.0,0.0,0.16642799999999935,-0.9679,0.6483,-8.70119,75575000.0,85660000.0,0.0681,0.0,-0.579278,-0.622,-1.0769,Industrials,0,-71.17117117117117
KMT,2837190000.0,897003000.0,589768000.0,633571000.0,263432000.0,224977000.0,158366000.0,158366000.0,2.01,1.99,78564524.0,78678000.0,0.3162,0.13699999999999998,0.0907,0.056,0.0549,387650000.0,257428000.0,162198000.0,0.0793,0.0558,177929000.0,884458000.0,3868086000.0,1906478000.0,1501157000.0,1929256000.0,130222000.0,271873000.0,-116140000.0,-740174000.0,270408000.0,-199387000.0,155733000.0,1.2815,0.0821,0.7334867942439699,3.4555,2.571,2.2615,36.0608,2.0128,3.4555,2.571,2.2615,24.521,32.402,24.5209,1.2815,0.0434,1.7167,0.2079,-0.8919,2549334000.0,2870432000.0,0.0821,-1.4761,0.0615,-0.1136,-0.1112,Industrials,0,-44.735172493849646
FLR,21531577000.0,1399033000.0,182711000.0,182711000.0,1216322000.0,863724000.0,510909000.0,510909000.0,3.24,3.2,156220578.0,157487000.0,0.065,0.05,0.0415,0.024,0.0197,1085999000.0,893405000.0,647543000.0,0.0401,0.0237,1993125000.0,980263000.0,8194429000.0,4970599000.0,3593597000.0,3110871000.0,192594000.0,642574000.0,-218832000.0,-199115000.0,-666416000.0,-290457000.0,423742000.0,0.4399,0.1642,2.6275872303,4.0802,2.6910000000000003,12.6558,136.7197,3.2441,4.0802,2.6910000000000003,12.6558,19.753,51.315,19.7532,0.4399,0.0534,1.2577,0.0085,-1.1362,8081477000.0,3777926000.0,0.1642,-1.3895,0.0248,-0.1485,0.0221,Industrials,0,-20.915199721691152
FDX,39912360000.0,15374950000.0,6623941733.656173,10529209026.087639,3815000000.0,3658000000.0,2324000000.0,2324000000.0,7.464899999999997,7.316999999999998,295516371.0,295516371.0,0.6258,0.141,0.0838,0.051,0.016,6405000000.0,3818000000.0,2324000000.0,0.0803,0.051,2908000000.0,19467000000.0,33070000000.0,17793000000.0,16229000000.0,15277000000.0,1960250000.0000043,4264000000.0,-2815440000.0,-3551000000.0,-2719000000.0,-522375466.529576,731000000.0,0.9355,0.1521,1.3778953734503,14.429,4.144,9.8404,154.1945,7.8642,14.429,4.144,9.8404,51.69600000000001,102.465,51.69600000000001,0.9355,0.0524,1.8348,0.3549,-1.3657,30280000000.0,27555000000.0,0.1521,-11.9553,0.0243,-0.1362,-0.1396,Industrials,0,-13.091789793661466
AOBC,626620000.0,259105000.0,102469000.0,108117000.0,150988000.0,137400000.0,89305000.0,89305000.0,1.52,1.49,54947895.0,58668000.0,0.4135,0.273,0.2388,0.14300000000000002,0.0439,171365000.0,149661000.0,89305000.0,0.2193,0.1425,68860000.0,120440000.0,381503000.0,214680000.0,97739000.0,166823000.0,21704000.0,90206000.0,-62693000.0,-62616000.0,-59217000.0,-31627000.0,27513000.0,1.346,0.5353,1.642503466552,1.5376,0.884,1.1737,10.6808,1.5222,1.5376,0.884,1.1737,2.844,6.444,2.8435,1.346,0.099,1.0101,0.1635,-2.8885,378078000.0,316675000.0,0.5353,-1.0686,0.1882,0.1425,0.1367,Industrials,1,131.85654645138573
GWW,9964953000.0,4314242000.0,2967125000.0,2967125000.0,1347117000.0,1323819000.0,801729000.0,801729000.0,7.464899999999997,7.316999999999998,68183321.0,68334322.0,0.4329,0.155,0.1339,0.08,0.0574,1542238000.0,1333912000.0,812296000.0,0.1328,0.0805,226644000.0,1324346000.0,5283049000.0,1998948000.0,6335990000.0,3209872000.0,208326000.0,959814000.0,-387390000.0,-384058000.0,-758123000.0,-204000000.0,572424000.0,1.744,0.2498,1.8862124882809,14.0459,8.377,3.3167,145.8265,11.7324,14.0459,8.377,3.3167,46.973,66.031,46.9731,1.744,0.0455,1.1972,0.2978,-1.8595,4512214000.0,3507487000.0,0.2498,-5.669,0.043,0.034,0.0388,Industrials,0,-19.01562383195036
