,Revenue,Gross Profit,SG&A Expense,Operating Expenses,Operating Income,Earnings before Tax,Net Income,Net Income Com,EPS,EPS Diluted,Weighted Average Shs Out,Weighted Average Shs Out (Dil),Gross Margin,EBIT Margin,Free Cash Flow margin,EBITDA,EBIT,Consolidated Income,Earnings Before Tax Margin,Net Profit Margin,Cash and cash equivalents,Cash and short-term investments,Total current assets,"Property, Plant & Equipment Net",Total assets,Total current liabilities,Total liabilities,Retained earnings (deficit),Total shareholders equity,Other Liabilities,Depreciation & Amortization,Operating Cash Flow,Capital Expenditure,Investing Cash flow,Financing Cash Flow,Net cash flow / Change in cash,Free Cash Flow,priceToSalesRatio,returnOnEquity,assetTurnover,currentRatio,quickRatio,cashRatio,Price to Sales Ratio,Earnings Yield,Income Quality,Capex to Depreciation,Tangible Asset Value,Net Current Asset Value,Invested Capital,ROE,Gross Profit Growth,Operating Income Growth,Operating Cash Flow growth,Sector,Class,2016 PRICE VAR [%]
PEB,770864000.0,302789000.0,32335000.0,175154000.0,127635000.0,97258000.0,94668000.0,68718000.0,0.95,0.94,71859746.0,71715870.0,0.3928,0.1765,-0.2432,231904000.0,136032000.0,94995000.0,0.1262,0.1228,35798000.0,35798000.0,103000000.0,2673584000.0,3058471000.0,284000000.0,1297637000.0,-105765000.0,1758389000.0,26285000.0,95872000.0,220720000.0,-408209000.0,-399894000.0,152636000.0,-26538000.0,-187489000.0,2.612,0.0538,0.25204227864184,0.36267605633803,0.21429577464789004,0.12604929577465,2.612,0.0339,3.212,-4.2579,3058471000.0,-1194637000.0,4128268000.0,0.0538,0.34700000000000003,0.3985,0.3685,Real Estate,1,15.814354297744766
ARE,843474000.0,582242000.0,59621000.0,344160000.0,238082000.0,144217000.0,144217000.0,116867000.0,1.63,1.63,72498946.0,72498946.0,0.6903,0.2964,-0.2627,511319000.0,250030000.0,146114000.0,0.171,0.171,153970000.0,153970000.0,483615000.0,7629922000.0,8881017000.0,301843000.0,4587053000.0,0.0,3975087000.0,0.0,261289000.0,342611000.0,-564206000.0,-722395000.0,419126000.0,39087000.0,-221595000.0,7.7667,0.0363,0.09497493361402197,1.6022071076686,0.54483622280457,0.51009962132632,7.7667,0.018000000000000002,2.9316,-2.1593,8881017000.0,-4103438000.0,12662739000.0,0.0363,0.1468,0.3345,0.0248,Real Estate,1,28.73519751808764
MFA,365655000.0,365655000.0,42045000.0,52429000.0,313226000.0,313226000.0,313226000.0,298226000.0,0.8,0.8,370435251.0,370435251.0,1.0,0.6085962485875699,0.570911,314086000.0,313226000.0,313226000.0,0.57771,0.4685579999999999,236545000.0,236545000.0,1263250000.0,0.0,13162551000.0,689103000.0,10195290000.0,-572332000.0,2967261000.0,689103000.0,860000.0,278125000.0,-1560000.0,142097481.41721565,-849688000.0,-17430000.0,276565000.0,6.6863,0.1056,0.027779949342646,1.8331802357558,0.34326508519046,0.34326508519046,6.6863,0.1212,0.9326,-1.814,13162551000.0,-8932040000.0,22410325000.0,0.1056,0.0191,-0.0009,0.0872,Real Estate,1,26.10801430794271
LPT,773960000.0,548316000.0,68264000.0,286733000.0,261583000.0,242156000.0,239483000.0,239483000.0,1.62,1.61,147771561.0,148243000.0,0.7085,0.4854,0.4638,605492000.0,375713000.0,245924000.0,0.3129,0.3094,44371000.0,44371000.0,281504000.0,5865562000.0,6557629000.0,149323000.0,3519838000.0,-674688000.0,2972581000.0,26154000.0,229779000.0,379121000.0,-20197000.0,-89660000.0,-331860000.0,-42399000.0,358924000.0,5.9284,0.0806,0.11802436520883,1.8852018778085,1.1887050219993,0.29714779370894,5.9284,0.0522,1.5831,-0.0879,6557629000.0,-3238334000.0,9660274000.0,0.0806,-0.0079,0.0162,0.1267,Real Estate,1,35.41571645148873
AVB,1856028000.0,1213782000.0,42774000.0,516977000.0,696805000.0,743521000.0,742038000.0,742038000.0,5.54,5.51,136877195.0,136877195.0,0.654,0.4952,-0.2966,1397059000.0,919136000.0,741733000.0,0.4006,0.3998,505328000.0,505328000.0,734500000.0,15942309000.0,16931305000.0,570702000.0,7080782000.0,-197989000.0,9840526000.0,570702000.0,477923000.0,1074667000.0,-1625191000.0,-1199517000.0,25093000.0,-99757000.0,-387838353.8000001,13.5791,0.0754,0.10962108354908,1.2870114350397,0.8854498494836199,0.8854498494836199,13.5791,0.0301,1.4483,-3.4005,16931305000.0,-6346282000.0,22882925000.0,0.0754,0.1077,0.1323,0.2121,Real Estate,1,1.0256639008041817
MGP,0.0,0.0,870456.5655139999,203481000.0,-261954000.0,0.0,0.0,0.0,0.0,0.0,50000000.0,108709033.21209286,0.0,0.0,0.0,196816000.0,0.0,-261954000.0,0.0,0.0,479079.99999999994,600313.2000000001,5005400.0,0.0,7793639000.0,1493330.47,1734680000.0,0.0,6058959000.0,0.0,196816000.0,-58473000.0,-129308000.0,-129308000.0,187781000.0,0.0,-187781000.0,13.8328,0.0,0.0,3.2256674812542516,2.301485945619594,1.1196097085108883,13.8328,0.0207,0.0,-0.657,7793639000.0,-1734680000.0,7793639000.0,0.0,0.0,-0.0638,0.0251,Real Estate,1,67.54434595448764
MAA,1042779000.0,347614000.0,56706000.0,56706000.0,290908000.0,333960000.0,332287000.0,332287000.0,4.41,4.41,75379381.0,75379381.0,0.3334,0.4376,-0.0292,751201000.0,456304000.0,350745000.0,0.3203,0.3187,63641000.0,63641000.0,63647000.0,6718366000.0,6847781000.0,254140000.0,3681708000.0,-634141000.0,2992097000.0,237860000.0,495000000.0,659000000.0,-233606237.8846686,-283000000.0,-398000000.0,-23000000.0,659000000.0,6.5644,0.1111,0.15227984072505,0.25044070197529,0.2504170929409,0.2504170929409,6.5644,0.0486,1.3955,-1.6759,6846174000.0,-3618061000.0,10210101000.0,0.1111,0.1697,0.2635,0.2033,Real Estate,1,12.568339273541572
XHR,976144000.0,365488000.0,25142000.0,261416000.0,104072000.0,95053000.0,88758000.0,88746000.0,0.79,0.79,111671372.0,111989686.0,0.3744,0.1494,0.0849,290293000.0,145869000.0,88642000.0,0.0974,0.0909,122154000.0,122154000.0,492488000.0,2414799000.0,3005944000.0,140800000.0,1262586000.0,-268991000.0,1727429000.0,36676000.0,144424000.0,193038000.0,-110209000.0,-220989000.0,-22647000.0,-50598000.0,82829000.0,1.7538,0.0514,0.32473791926929,3.4977840909091,1.0307670454545,0.8675710227272699,1.7538,0.0515,2.1752,-0.7631,2947885000.0,-770098000.0,3920267000.0,0.0514,0.0964,0.1019,0.063,Real Estate,1,39.131207810969045
FR,365823000.0,251195000.0,25362000.0,141205000.0,109990000.0,73919000.0,73802000.0,73802000.0,0.67,0.66,110744317.0,110352000.0,0.6867,0.3864,0.454,234298000.0,141343000.0,76705000.0,0.2021,0.2017,26992000.0,26992000.0,173844000.0,2502638000.0,2709808000.0,108511000.0,1594673000.0,-674759000.0,1073100000.0,14812000.0,92955000.0,162149000.0,0.0,-197074000.0,29426000.0,-5499000.0,166094000.0,6.6993,0.0688,0.13499960144778,1.6020864244178,0.87492512279861,0.24874897475832,6.6993,0.0303,2.1971,0.0,2709808000.0,-1420829000.0,4116984000.0,0.0688,0.0818,0.1465,0.1821,Real Estate,1,33.63535075882716
BRX,1265980000.0,955592000.0,98454000.0,525929000.0,429663000.0,193720000.0,193720000.0,193570000.0,0.65,0.65,298488602.0,298004000.0,0.7548,0.3466,0.2226,856667000.0,438732000.0,197536000.0,0.153,0.153,110990000.0,110990000.0,291476000.0,9052165000.0,9498007000.0,334839000.0,6577705000.0,-400945000.0,2869783000.0,0.0,417935000.0,523998000.0,-242142000.0,-190743000.0,-336024000.0,-2769000.0,281856000.0,6.0878,0.0675,0.13328901526394,0.87049596970484,0.87049596970484,0.33147273764406,6.0878,0.0252,2.707,-0.5794,9498007000.0,-6286229000.0,15361283000.0,0.0675,0.0298,0.0888,0.0935,Real Estate,0,-0.4458320278649508
EXR,782270000.0,565272000.0,67758000.0,270616000.0,294656000.0,200622000.0,189474000.0,189474000.0,1.58,1.56,123456914.0,119816743.0,0.7226,0.3788,-0.0216,429761000.0,296304000.0,209536000.0,0.2565,0.2422,106537000.0,106537000.0,113738000.0,5689309000.0,6071407000.0,84916000.0,3698803000.0,-337566000.0,2089077000.0,2223000.0,133457000.0,367329000.0,-384208000.0,-1625664000.0,1286471000.0,28136000.0,-16879000.0,13.9212,0.0907,0.12884492836669,1.3394177775684,1.2805831645391,1.2546163267229,13.9212,0.0179,1.9387,-2.8789,6071407000.0,-3585065000.0,9500491000.0,0.0907,0.2174,0.0581,0.0881,Real Estate,0,-8.781634393695759
PGRE,662408000.0,417654000.0,42056000.0,347035000.0,70619000.0,-1853000.0,-4419000.0,-4419000.0,-0.02,-0.02,212111937.0,212106718.0,0.6305,0.2514,-0.1884,461137000.0,166513000.0,21143000.0,-0.0028,-0.0067,185707000.0,185707000.0,295864000.0,7409028000.0,8775229000.0,127797000.0,3464679000.0,-36120000.0,3761017000.0,0.0,294624000.0,-16950000.0,-107859000.0,-109340000.0,-182330000.0,-308620000.0,-124809000.0,5.7959,-0.0012,0.07548612121689399,2.3151091183674,2.1467092341761003,1.4531405275554,5.7959,-0.0011,3.8357,-0.3661,8264022000.0,-3168815000.0,11066587000.0,-0.0012,0.20820552995391706,0.34746958525345617,0.33257072350230404,Real Estate,0,-8.189839157031782
WRI,512844000.0,358311000.0,27524000.0,172738000.0,185573000.0,174404000.0,174352000.0,160835000.0,1.31,1.29,123943858.0,123943858.0,0.6987,0.5112,0.0809,408127000.0,262187000.0,181222000.0,0.3401,0.34,22168000.0,22168000.0,145929000.0,3209680000.0,3901945000.0,261705000.0,2356935000.0,-222880000.0,1389462000.0,149500000.0,145940000.0,245435000.0,-203965000.0,-197132000.0,-126248000.0,-77945000.0,41470000.0,8.3573,0.1255,0.1314329135854,0.5576087579526601,0.40866624634608,0.084706062169236,8.3573,0.0379,1.526,-1.3976,3901945000.0,-2211006000.0,5993054000.0,0.1255,0.0,-0.1873,0.0194,Real Estate,1,9.840267231548287
CPT,842950000.0,514153000.0,46233000.0,286913000.0,227240000.0,251187000.0,249315000.0,249315000.0,2.77,2.76,86861188.0,89120000.0,0.6099,0.4134,0.1856,589443000.0,348499000.0,258262000.0,0.298,0.2958,16588000.0,16588000.0,293951000.0,5879664000.0,6037612000.0,261851000.0,3065352000.0,-458577000.0,2816557000.0,64223000.0,240944000.0,423238000.0,-266755000.0,-293235000.0,-273231000.0,-143228000.0,156483000.0,7.9097,0.0885,0.13961645763258998,1.122588800501,0.15920504408996,0.06334900382278501,7.9097,0.0361,1.6976,-1.1071,6037612000.0,-2771401000.0,8745711000.0,0.0885,0.0455,0.0581,0.0113,Real Estate,1,20.84030883664956
ALEX,472800000.0,145600000.0,51600000.0,51600000.0,94000000.0,66600000.0,29600000.0,29600000.0,0.54,0.54,48875225.0,48900000.0,0.308,0.2028,0.2802,151600000.0,95900000.0,31100000.0,0.1409,0.0626,1300000.0,1300000.0,152500000.0,1452900000.0,2242300000.0,184700000.0,1015200000.0,117200000.0,1223600000.0,58800000.0,55700000.0,129100000.0,0.0,18400000.0,-131600000.0,15900000.0,132500000.0,3.6501,0.0242,0.21085492574589,0.826,0.30427720628045,0.013248608870820699,3.6501,0.0153,4.3615,0.0,2085600000.0,-862700000.0,2486600000.0,0.0242,0.1235,0.2256,2.1955,Real Estate,1,31.02989956757705
STWD,735877000.0,611144000.0,154628000.0,208996000.0,402148000.0,467903000.0,450697000.0,450697000.0,1.92,1.91,237672948.0,237672948.0,0.8305,0.6085962485875699,0.570911,697685000.0,670453000.0,452183000.0,0.57771,0.4685579999999999,391884000.0,391884000.0,6734806000.0,919225000.0,85698354000.0,306419000.0,64216210563.79823,-12286000.0,4140316000.0,108659000.0,27232000.0,605677000.0,0.0,-420035000.0,-93262000.0,92380000.0,639333000.0,6.6405,0.1089,0.0085868277003313,16.244812767038255,1.2789154719518,1.2789154719518,6.6405,0.0934,1.3439,0.0,75016933439.99997,-39066714560.0,75738526479.74123,0.1089,0.0444,0.0584,1.7442,Real Estate,1,18.06011438815416
XIN,1164323998.0,272990106.0,167455085.0,161509965.0,111480141.0,118993425.0,66482107.0,66482107.0,0.94,0.9,147019802.0,142625427.0,0.2345,0.1196,-0.006,150405272.0,139274841.0,66481585.0,0.1022,0.0571,750665302.0,751909948.0,3262963717.0,110455904.0,3548883184.0,1650882568.0,2612931582.0,317765089.0,935970421.0,359580665.0,11130431.0,-4535075.0,-2477039.0,-35002993.0,306282098.0,266744030.0,-7012114.0,0.4659,0.071,0.32808180422768,1.976,0.63648738218429,0.4547054506180999,0.4659,0.16460299999999994,-0.0682,-0.2225,3548883184.0,650032135.0,2896935878.0,0.071,0.1273,0.1119,0.9949,Real Estate,1,48.977091705876134
GEO,1843307000.0,479525000.0,137040000.0,243796000.0,235729000.0,146827000.0,139438000.0,139438000.0,1.26,1.25,111983370.0,110544000.0,0.2601,0.1372,0.0134,359719000.0,252963000.0,139315000.0,0.0797,0.0756,88363000.0,88363000.0,438346000.0,1916386000.0,3462227000.0,278624000.0,2455390000.0,158796000.0,1006738000.0,183960000.0,106756000.0,142157000.0,-117539000.0,-452880000.0,332250000.0,18301000.0,24618000.0,1.1709,0.1385,0.5324050098390399,1.5730000000000002,2.0694591994947,0.3171406626852,1.1709,0.0654,1.0195,-1.101,2622641000.0,-2017044000.0,4350396000.0,0.1385,0.0754,0.0043,-0.2981,Real Estate,1,43.1601633026751
BAM,19913000000.0,5480000000.0,106000000.0,1801000000.0,3679000000.0,2537000000.0,2341000000.0,2341000000.0,2.32,2.26,928227521.0,928227521.0,0.2752,0.269,0.0751,6932283261.231259,4558338241.042354,3112309351.409623,0.1274,0.1176,2774000000.0,2774000000.0,16141000000.0,19721000000.0,100579249999.99992,17054000000.0,64216210563.79823,11045000000.0,22579866913.51845,0.0,1695000000.0,2788000000.0,-1292000000.0,-5567929200.0,1713073796.227385,-54000000.0,1496000000.0,1.4466,0.0925,0.14273119543557994,0.94646417262812,0.5757007153746899,0.16265978656034,1.4466,0.0748,1.1909,-0.7622,75016933439.99997,-39066714560.0,75738526479.74123,0.0925,0.0446,0.0071,0.0831,Real Estate,1,12.26512925539554
SNR,388478000.0,198935000.0,29512000.0,204903000.0,-5968000.0,-86080000.0,-82425000.0,-82425000.0,-1.08,-1.08,86534140.0,76601161.0,0.5121,-0.0285,0.1121,149401000.0,-11059000.0,-82425000.0,-0.2216,-0.2122,116881000.0,116881000.0,181354000.0,2803343000.0,3017459000.0,26474000.0,2250134000.0,-162183000.0,767325000.0,16830000.0,160460000.0,69502000.0,-25935000.0,-1277278000.0,1098280000.0,-109496000.0,43567000.0,2.1963,-0.1074,0.12874342286010002,6.850268187655799,8.0877842411423,4.4149354083251,2.1963,-0.1095,-0.8432,-0.1616,3017459000.0,-2068780000.0,5051895000.0,-0.1074,0.3937,-1.5535,0.4911,Real Estate,1,7.121490411650195
SNH,998773000.0,621194000.0,42830000.0,307660000.0,313534000.0,124542000.0,123968000.0,123968000.0,0.53,0.53,237471559.0,232931000.0,0.622,0.2758,-0.7978,533206000.0,275423000.0,123968000.0,0.1247,0.1241,43811000.0,43811000.0,61723000.0,6309400000.0,7160090000.0,16974000.0,3800330000.0,-1141781000.0,3359760000.0,1966000.0,257783000.0,405521000.0,-1202380000.0,-1213095000.0,817636000.0,10062000.0,-387838353.8000001,3.5284,0.0369,0.13949168236712,3.6363261458702,3.6363261458702,2.5810651584777,3.5284,0.0357,3.2712,-4.6643,6555804000.0,-3738607000.0,9991129000.0,0.0369,0.1939,0.076,0.1557,Real Estate,1,36.49450577985661
STAG,218633000.0,176006000.0,28750000.0,174248000.0,1758000.0,-27383000.0,-27383000.0,-38616000.0,-0.58,-0.58,68077333.0,66307972.0,0.805,0.0399,-0.752,119136000.0,8715000.0,-29345000.0,-0.1252,-0.1252,20406000.0,20406000.0,58815000.0,1839967000.0,1901782000.0,33896000.0,1043925000.0,-332271000.0,822457000.0,8234000.0,110421000.0,121707000.0,-286115000.0,-372038000.0,238464000.0,-11867000.0,-164408000.0,5.7449,-0.0333,0.11496217757871,1.7351604909133995,1.2356620250177,0.60201793721973,5.7449,-0.0314,-3.1517,-2.5911,1901782000.0,-985110000.0,2861624000.0,-0.0333,0.2534,-0.9039,0.2589,Real Estate,1,39.77252856473247
IRS,374326256.7374,223737762.6224,62479375.2062,58849411.5059,164888351.1165,173908260.9174,0.0,0.0,3.641,3.608,63653774.0623,63653774.0623,0.5977,0.6085962485875699,0.570911,295677043.2296,295677043.2296,234297657.0234,0.4646,0.0,41249587.5041,73699263.0073,208557914.4209,2155758442.4156,2835551644.4836,294907050.9295,1407765922.3408,1098889011.1099,1324056759.4324,32229677.7032,0.0,91739082.6092,0.0,28709712.9029,-152898471.0153,-32449675.5032,310856891.4311,3.0524,0.0,0.13201179300177002,0.0778,0.71913465124915,0.13987318164855,3.0524,0.16460299999999994,0.0,0.0,2821581784.1822,-1199208007.9199,3032449675.5032,0.0,0.2206,0.3385,-0.4251,Real Estate,1,52.902156711780435
EQC,714891000.0,389943000.0,57457000.0,184199000.0,205744000.0,102221000.0,99857000.0,71933000.0,0.56,0.56,126349914.0,128621000.0,0.5455,0.2931,0.570911,376734000.0,209537000.0,99857000.0,0.14300000000000002,0.1397,1834974000.0,1834974000.0,2009650000.0,3887352000.0,5231164000.0,123587000.0,1862677000.0,-1428354000.0,3368487000.0,0.0,167197000.0,188114000.0,0.0,142097481.41721565,-593013000.0,668325000.0,2006296000.0,4.901,0.0296,0.13666002442286,16.244812767038255,14.917640943415817,9.051665911397375,4.901,0.0202,2.6151,0.0,5231164000.0,146973000.0,5093306000.0,0.0296,-0.1771,3.5334,-0.1616,Real Estate,1,10.769232975362687
DEI,635774000.0,425356000.0,30496000.0,235829000.0,189527000.0,58384000.0,58384000.0,58384000.0,0.4,0.39,146779348.0,146779348.0,0.669,0.3049,0.0429,380070000.0,193837000.0,68755000.0,0.0918,0.0918,101798000.0,106798000.0,313229000.0,5578011000.0,6066161000.0,121059000.0,3784613000.0,-772726000.0,1926211000.0,104749000.0,186233000.0,271427000.0,-244167000.0,-231589000.0,43137000.0,82975000.0,27260000.0,7.1984,0.0303,0.10480664789477,2.5874077928944,0.89795058607786,0.8408957615708001,7.1984,0.0128,4.649,-1.3111,6061677000.0,-3471384000.0,9571155000.0,0.0303,0.0695,0.1344,0.1002,Real Estate,1,23.71998239563693
BBX,744257000.0,597724000.0,466700000.0,490030000.0,107694000.0,45878000.0,122474000.0,122474000.0,1.41,1.4,89211747.0,87022000.0,0.8031,0.1159,-0.0189,104719000.0,86286000.0,141279000.0,0.0616,0.1646,258270000.0,258270000.0,928000000.0,90020000.0,1340960000.0,26000000.0,858054000.0,232134000.0,376826000.0,24000.0,18433000.0,-1651000.0,-12438000.0,49962000.0,-124098000.0,-75787000.0,-14089000.0,0.4063,0.325,0.5550180467724599,16.244812767038255,9.9334615384615,9.051665911397375,0.4063,0.16460299999999994,-0.0135,-0.6748,1263171000.0,69946000.0,1680292000.0,0.325,0.1282,-0.0055,-1.0151,Real Estate,1,54.166303635125104
NRZ,388704000.0,332743000.0,61862000.0,61862000.0,270881000.0,257635000.0,268636000.0,268636000.0,1.34,1.32,230458866.0,200739809.0,0.856,0.6085962485875699,0.570911,257635000.0,257635000.0,281882000.0,0.57771,0.4685579999999999,344638000.0,344638000.0,3214749000.0,0.0,15192722000.0,3984540000.0,12206142000.0,148800000.0,2795933000.0,3235083000.0,0.0,306493000.0,0.0,0.0,28930000.0,102235000.0,306493000.0,7.2095,0.0961,0.025584882024432,0.80680555346414,0.4726063736341,0.08649379853132401,7.2095,0.1102,1.1409,0.0,13611205000.0,-8991393000.0,24559189000.0,0.0961,-0.3238,-0.4175,2.7814,Real Estate,1,48.42779107925654
CTT,69122000.0,12373000.0,12162000.0,17193000.0,-4820000.0,-8387000.0,-8387000.0,-8387000.0,-0.21,-0.21,38975589.0,39348000.0,0.179,-0.0696,-0.7229,22394000.0,-4814000.0,-8387000.0,-0.1213,-0.1213,8025000.0,8025000.0,13864000.0,584854000.0,599095000.0,3307000.0,188057000.0,-195341000.0,411038000.0,0.0,27208000.0,28494000.0,-78461000.0,-78461000.0,40627000.0,-9340000.0,-49967000.0,6.3773,-0.0204,0.11537736085262,4.1923193226489,3.2013909888116,2.4266706985183,6.3773,-0.0186,-3.3974,-2.8837,599072000.0,-174193000.0,772094000.0,-0.0204,-0.2566,-2.5459,0.4358,Real Estate,1,6.2431981047872185
AHH,252440000.0,60110000.0,8397000.0,33526000.0,26584000.0,19608000.0,19642000.0,19642000.0,0.75,0.75,26520311.0,41383000.0,0.2381,0.1305,0.2177,51619000.0,32941000.0,31183000.0,0.0777,0.0778,29813000.0,29813000.0,139256000.0,508211000.0,689547000.0,14093000.0,463827000.0,-53010000.0,49548000.0,7621000.0,18678000.0,33266000.0,0.0,-57961000.0,24401000.0,-294000.0,54956000.0,1.101,0.3964,0.36609542206695,9.881217625771699,9.968424040303699,2.1154473852267,1.101,0.0716,1.6936,0.0,689547000.0,-324571000.0,1037327000.0,0.3964,0.2816,0.2435,0.0607,Real Estate,1,50.178433358914134
HIW,604671000.0,388730000.0,37642000.0,239560000.0,149170000.0,97078000.0,97078000.0,94572000.0,1.0,1.0,95326219.0,94404000.0,0.6429,0.3029,0.0125,399087000.0,183130000.0,101260000.0,0.1605,0.1605,21805000.0,21805000.0,468871000.0,3762223000.0,4485631000.0,196395000.0,2739920000.0,-1023135000.0,1474878000.0,0.0,215957000.0,288879000.0,-281300000.0,-654157000.0,361482000.0,-3796000.0,7579000.0,6.8735,0.0658,0.13480177036408,2.3873876626187003,1.0248427913134,0.11102624812241,6.8735,0.0229,3.0546,-1.3026,4485631000.0,-2271049000.0,6955639000.0,0.0658,0.1107,0.1173,0.0823,Real Estate,1,24.401585386309858
REXR,93900000.0,68900000.0,15016000.0,56853000.0,12047000.0,1874000.0,1874000.0,1651000.0,0.03,0.03,55586607.0,54024923.0,0.7338,0.11,-2.2606,52164000.0,10327000.0,1950000.0,0.02,0.02,5201000.0,5201000.0,16068000.0,1085143000.0,1153251000.0,31976000.0,459507000.0,-48103000.0,672139000.0,19345000.0,41837000.0,40508000.0,-252780000.0,-236774000.0,192861000.0,-3405000.0,-212272000.0,9.6847,0.0028,0.081421997466293,0.50250187640731,0.50250187640731,0.16265323992995,9.6847,0.0018,9.795838000000039,-6.042000000000002,1117597000.0,-443439000.0,1530550000.0,0.0028,0.4295,0.6177,0.6531,Real Estate,1,48.19986093407457
REG,569763000.0,424930000.0,65600000.0,220265000.0,204665000.0,150056000.0,150056000.0,128994000.0,1.37,1.36,94162229.0,94162229.0,0.7458,0.4435,0.3282,399507000.0,252678000.0,152543000.0,0.2634,0.2634,40623000.0,77623000.0,175880000.0,3808319000.0,4182881000.0,115344000.0,2100261000.0,-936020000.0,2054109000.0,0.0,146829000.0,285543000.0,-98531000.0,-139346000.0,-223117000.0,-76920000.0,187012000.0,11.2579,0.0731,0.13621305506898,1.5248300735192002,1.5933815369676998,0.35218997086975,11.2579,0.0201,2.2136,-0.6711,4077501000.0,-1924381000.0,5901163000.0,0.0731,0.0595,0.109,0.0281,Real Estate,1,4.890125202530663
ZG,645000000.0,520000000.0,613000000.0,242014439.16553396,-93000000.0,-154000000.0,134370313.25782648,-149000000.0,-0.88,-0.88,178000000.0,108709033.21209286,0.8062,0.1250171722538724,-0.47180601363636365,360800681.4154346,217110591.28417796,145773403.73160267,-0.2388,0.014864479784732746,229000000.0,520000000.0,574000000.0,90000000.0,3136000000.0,80000000.0,457000000.0,-277000000.0,2679000000.0,354260318.8115737,75386000.0,22659000.0,-54981000.0,64441000.0,16273000.0,103373000.0,51243501.62736424,7.598320502242152,0.06118254090909093,0.20219144171581954,3.2256674812542516,2.301485945619594,1.1196097085108883,7.598320502242152,0.008428690582959636,1.783010199095025,-2.0610662162162163,5553981148.454841,-2852543087.94776,7958014588.396803,0.061190409090909025,0.20820552995391706,0.34746958525345617,0.33257072350230404,Real Estate,1,48.71481200554166
MAC,1288149000.0,815994000.0,29870000.0,119209000.0,696785000.0,484339000.0,487562000.0,487562000.0,3.08,3.08,158327709.0,157916000.0,0.6335,0.5405,0.1479,1167602000.0,696282000.0,522912000.0,0.376,0.3785,127899000.0,127899000.0,341829000.0,8796912000.0,11235584000.0,714648000.0,6164345000.0,-212760000.0,4715414000.0,640250000.0,471320000.0,554956000.0,-364419000.0,-101024000.0,-452329000.0,1603000.0,190537000.0,9.9177,0.1034,0.11464904717013,0.47831799711186,0.47831799711186,0.17896782751788,9.9177,0.0382,1.1382,-0.7732,11235584000.0,-5822516000.0,16368435000.0,0.1034,0.2302,-0.6022,0.3849,Real Estate,0,-7.520522636224338
RPAI,603960000.0,426370000.0,50657000.0,265363000.0,161007000.0,125096000.0,125096000.0,115646000.0,0.49,0.49,237267244.0,236380000.0,0.706,0.4372,0.3659,478740000.0,264034000.0,125624000.0,0.2071,0.2071,51424000.0,51424000.0,170032000.0,4254647000.0,4621251000.0,109097000.0,2465914000.0,-1550013960.0,2155337000.0,0.0,214706000.0,266650000.0,-45649000.0,2623000.0,-352806000.0,-83533000.0,221001000.0,5.8024,0.058,0.13069188408074,1.558539648203,1.2303546385327,0.47136034904718,5.8024,0.0332,2.3057,-0.2126,4482485000.0,-2295882000.0,6597299000.0,0.058,0.0031,-0.0792,0.0497,Real Estate,1,9.217407873157306
IVR,168675000.0,168675000.0,46401000.0,54620000.0,114055000.0,112711000.0,112711000.0,89847000.0,0.74,0.74,119455302.0,121377585.0,1.0,0.6085962485875699,0.570911,112711000.0,112711000.0,114055000.0,0.57771,0.4685579999999999,53199000.0,53199000.0,587586000.0,0.0,16767309000.0,12450928000.0,14500401000.0,-771313000.0,2241035000.0,12428205239.99999,0.0,358585000.0,0.0,142097481.41721565,-1707273000.0,-110945000.0,358585000.0,8.7746,0.0503,0.010059753774443,0.047192145035294016,0.02963218043114296,0.013248608870820699,8.7746,0.0597,3.9911,0.0,16767309000.0,-13912815000.0,30884731000.0,0.0503,1.7961,1.5243,-0.0555,Real Estate,1,33.94900774614585
RESI,248098000.0,181832000.0,33071000.0,177595000.0,4237000.0,-45939000.0,-46005000.0,-46005000.0,-0.81,-0.81,55990853.0,56843028.0,0.7329,0.0313,-0.8473,15227000.0,7755000.0,-46005000.0,-0.1852,-0.1854,137268000.0,137268000.0,754370000.0,986426000.0,2450773000.0,32448000.0,1298416000.0,-50617000.0,1152357000.0,0.0,7472000.0,-80508630.0,0.0,142097481.41721565,-214418000.0,57820000.0,-210217000.0,2.8007,-0.0399,0.10123254989344,16.244812767038255,5.712247287968402,4.230399408284,2.8007,-0.0653,4.7323,0.0,2450773000.0,-544046000.0,3579473000.0,-0.0399,-0.5423,-0.9809,-0.2539,Real Estate,0,-5.626244825177013
JLL,5965700000.0,5965700000.0,5293700000.0,5435900000.0,529800000.0,571500000.0,438700000.0,438400000.0,7.240799999999999,7.073399999999998,45040835.0,44940000.0,1.0,0.1005,0.038,707700000.0,599600000.0,446300000.0,0.0958,0.0735,216600000.0,481800000.0,2650800000.0,423300000.0,6187100000.0,2505200000.0,3457700000.0,2044200000.0,2688800000.0,1480300000.0,108100000.0,375800000.0,-149100000.0,-584600000.0,191600000.0,-33800000.0,226700000.0,1.2069,0.1632,0.96421586850059,1.058,0.98834424397254,0.086460162861249,1.2069,0.061,0.8572,-1.3793,3818400000.0,-806900000.0,1920800000.0,0.1632,0.0987,0.1379,-0.2467,Real Estate,0,-34.40929511512241
